Family,Genus,Species,OTU,Both,Exuvia,Water
Chironomidae,Micropsectra,sp,OTU_1095,0,0,1
Chironomidae,Gymnometriocnemus,brumalis,OTU_1096,0,0,1
Chironomidae,Polypedilum,sp,OTU_114,0,1,0
Chironomidae,Pseudosmittia,forcipata,OTU_1151,0,0,1
Chironomidae,Diamesa,permacra,OTU_1181,0,0,1
Chironomidae,Cricotopus,sp,OTU_120,0,0,1
Chironomidae,Corynoneura,sp,OTU_13,1,1,1
Chironomidae,Thienemannimyia,sp,OTU_131,0,1,0
Chironomidae,Psectrocladius,limbatellus,OTU_133,1,1,1
Chironomidae,Micropsectra,sp,OTU_139,1,1,1
Chironomidae,Tanytarsus,signatus,OTU_140,0,1,0
Chironomidae,Heterotanytarsus,apicalis,OTU_141,0,1,0
Chironomidae,G,sp,OTU_142,1,1,1
Chironomidae,Orthocladius,frigidus,OTU_144,0,0,1
Chironomidae,Dicrotendipes,sp,OTU_147,1,1,1
Chironomidae,Micropsectra,sp,OTU_15,1,1,1
Chironomidae,Chaetocladius,melaleucus,OTU_153,1,1,1
Chironomidae,Pseudorthocladius,curtistylus,OTU_155,1,1,1
Chironomidae,Heleniella,sp,OTU_167,0,1,0
Chironomidae,Tanytarsus,usmaensis,OTU_169,0,1,0
Chironomidae,G,sp,OTU_170,1,1,1
Chironomidae,Nanocladius,dichromus,OTU_171,1,1,1
Chironomidae,Monopelopia,sp,OTU_186,0,0,1
Chironomidae,Orthocladius,sp,OTU_196,1,1,1
Chironomidae,Tanytarsus,brundini,OTU_1977,1,1,1
Chironomidae,Tanytarsus,bathophilus,OTU_20,1,1,1
Chironomidae,Cricotopus,albiforceps,OTU_204,0,1,0
Chironomidae,Psectrocladius,octomaculatus,OTU_208,1,1,1
Chironomidae,Virgatanytarsus,sp,OTU_21,1,1,1
Chironomidae,Eukiefferiella,sp,OTU_213,0,0,1
Chironomidae,Paratanytarsus,sp,OTU_215,1,1,1
Chironomidae,Procladius,sp,OTU_2151,0,1,0
Chironomidae,Limnophyes,asquamatus,OTU_216,0,1,0
Chironomidae,Microtendipes,pedellus,OTU_2185,1,1,1
Chironomidae,Dicrotendipes,modestus,OTU_22,1,1,1
Chironomidae,G,sp,OTU_2242,0,0,1
Chironomidae,Cricotopus,sylvestris,OTU_2259,0,0,1
Chironomidae,Paratanytarsus,tenuis,OTU_2280,1,1,1
Chironomidae,Paratanytarsus,tenuis,OTU_2286,0,1,0
Chironomidae,Parakiefferiella,bathophila,OTU_230,1,1,1
Chironomidae,Paraborniella,sp,OTU_231,1,1,1
Chironomidae,Tanytarsus,brundini,OTU_2317,0,1,0
Chironomidae,Tanytarsus,usmaensis,OTU_238,1,1,1
Chironomidae,Chironomus,entis,OTU_241,1,1,1
Chironomidae,Nilodorum,sp,OTU_246,0,1,0
Chironomidae,Paratanytarsus,tenuis,OTU_25,1,1,1
Chironomidae,Chaetocladius,sp,OTU_254,1,1,1
Chironomidae,Metriocnemus,albolineatus,OTU_257,1,1,1
Chironomidae,Limnophyes,sp,OTU_274,1,1,1
Chironomidae,Dicrotendipes,pulsus,OTU_283,0,1,0
Chironomidae,Pagastiella,orophila,OTU_284,1,1,1
Chironomidae,Chironomus,sp,OTU_286,0,0,1
Chironomidae,Cricotopus,sp,OTU_29,0,1,0
Chironomidae,Parakiefferiella,smolandica,OTU_292,0,1,0
Chironomidae,Chironomus,riparius,OTU_295,0,0,1
Chironomidae,Chironomus,muratensis,OTU_297,0,1,0
Chironomidae,Nanocladius,filiformis,OTU_300,0,0,1
Chironomidae,Phaenopsectra,sp,OTU_302,0,1,0
Chironomidae,Corynoneura,sp,OTU_31,1,1,1
Chironomidae,Parachironomus,sp,OTU_319,0,1,0
Chironomidae,Smittia,sp,OTU_320,0,0,1
Chironomidae,Paracladopelma,camptolabis,OTU_324,0,1,0
Chironomidae,Corynoneura,arctica,OTU_326,0,1,0
Chironomidae,Stictochironomus,maculipennis,OTU_327,0,1,0
Chironomidae,Ablabesmyia,sp,OTU_329,0,0,1
Chironomidae,Paratanytarsus,grimmii,OTU_338,0,1,0
Chironomidae,Stempellinella,brevis,OTU_339,0,0,1
Chironomidae,Kiefferulus,sp,OTU_34,1,1,1
Chironomidae,Tanytarsus,curticornis,OTU_351,1,1,1
Chironomidae,Parochlus,kiefferi,OTU_354,0,1,0
Chironomidae,Ablabesmyia,monilis,OTU_36,1,1,1
Chironomidae,Corynoneura,fittkaui,OTU_360,0,0,1
Chironomidae,Limnophyes,anderseni,OTU_366,1,1,1
Chironomidae,Cladotanytarsus,sp,OTU_38,1,1,1
Chironomidae,Macropelopia,nebulosa,OTU_381,0,0,1
Chironomidae,Polypedilum,sp,OTU_383,0,0,1
Chironomidae,Micropsectra,sp,OTU_389,1,1,1
Chironomidae,Paraphaenocladius,irritus,OTU_390,0,0,1
Chironomidae,Chironomus,sp,OTU_391,0,0,1
Chironomidae,Parapsectra,sp,OTU_396,0,1,0
Chironomidae,Tanytarsus,sp,OTU_399,0,0,1
Chironomidae,Tanytarsus,debilis,OTU_402,0,0,1
Chironomidae,Limnophyes,aagaardi,OTU_406,0,1,0
Chironomidae,Micropsectra,sp,OTU_424,0,0,1
Chironomidae,Synorthocladius,sp,OTU_427,0,0,1
Chironomidae,Tvetenia,bavarica,OTU_437,0,0,1
Chironomidae,Limnophyes,edwardsi,OTU_438,0,1,0
Chironomidae,Polypedilum,sp,OTU_440,0,1,0
Chironomidae,Parachironomus,tenuicaudatus,OTU_45,1,1,1
Chironomidae,Paracladopelma,camptolabis,OTU_452,0,1,0
Chironomidae,Cricotopus,sp,OTU_468,0,0,1
Chironomidae,Tanytarsus,debilis,OTU_469,0,1,0
Chironomidae,Chironomus,anthracinus,OTU_48,1,1,1
Chironomidae,Corynoneura,sp,OTU_482,0,0,1
Chironomidae,Tanytarsus,sp,OTU_489,0,0,1
Chironomidae,Cricotopus,sylvestris,OTU_49,1,1,1
Chironomidae,Polypedilum,sp,OTU_492,0,0,1
Chironomidae,Microtendipes,pedellus,OTU_5,1,1,1
Chironomidae,Krenopelopia,sp,OTU_505,0,0,1
Chironomidae,Tanytarsus,mendax,OTU_508,0,0,1
Chironomidae,Cricotopus,curtus,OTU_514,0,0,1
Chironomidae,Tvetenia,calvescens,OTU_540,0,0,1
Chironomidae,Procladius,sp,OTU_551,0,0,1
Chironomidae,Paratrichocladius,sp,OTU_580,0,0,1
Chironomidae,G,sp,OTU_581,0,0,1
Chironomidae,Paraphaenocladius,impensus,OTU_583,0,0,1
Chironomidae,Micropsectra,sp,OTU_587,0,0,1
Chironomidae,Krenosmittia,sp,OTU_59,0,1,0
Chironomidae,Corynoneura,sp,OTU_598,0,0,1
Chironomidae,Rheocricotopus,fuscipes,OTU_6,0,1,0
Chironomidae,Tanytarsus,sp,OTU_615,0,0,1
Chironomidae,Orthocladius,sp,OTU_619,0,0,1
Chironomidae,Nanocladius,rectinervis,OTU_622,0,0,1
Chironomidae,Rheocricotopus,effusus,OTU_623,0,0,1
Chironomidae,Rheotanytarsus,pentapoda,OTU_624,0,0,1
Chironomidae,Paratanytarsus,tenuis,OTU_630,0,0,1
Chironomidae,Cricotopus,sp,OTU_698,0,0,1
Chironomidae,Sergentia,sp,OTU_7,1,1,1
Chironomidae,Chironomus,sp,OTU_70,0,1,0
Chironomidae,Stempellina,bausei,OTU_721,0,0,1
Chironomidae,Thienemanniella,sp,OTU_727,0,0,1
Chironomidae,Microtendipes,rydalensis,OTU_74,1,1,1
Chironomidae,Smittia,sp,OTU_752,0,0,1
Chironomidae,Polypedilum,sp,OTU_767,0,0,1
Chironomidae,Heterotanytarsus,apicalis,OTU_77,1,1,1
Chironomidae,Macropelopia,sp,OTU_779,0,0,1
Chironomidae,Tanytarsus,brundini,OTU_80,0,0,1
Chironomidae,Rheotanytarsus,sp,OTU_817,0,0,1
Chironomidae,Cricotopus,sp,OTU_837,0,0,1
Chironomidae,Orthocladius,sp,OTU_882,0,0,1
Chironomidae,Procladius,sp,OTU_89,1,1,1
Chironomidae,Microtendipes,chloris,OTU_9,1,1,1
Chironomidae,G,sp,OTU_94,0,0,1
Chironomidae,Tanytarsus,brundini,OTU_957,0,1,0
Chironomidae,G,sp,OTU_96,0,1,0
Chironomidae,Chaetocladius,perennis,OTU_967,0,0,1
Chironomidae,Tvetenia,calvescens,OTU_97,0,1,0
Chironomidae,Eukiefferiella,dittmari,OTU_976,0,0,1
