Year,WBID,LakeID,Lake,Elevation,Area,MnDepth,MxDepth,Volume,CatchmentArea,RetTime,pH,Cond,Alkalinity,TN,TP
4,33974,L33974,Cwmffynnon,385,10.7,4.3,11,0.46,80,55,5.8,19,2.1,0.05,0.004
4,33862,L33862,Bochlwyd,555,4.2,7.2,18,0.3,119,27,5.6,20,2.7,0.35,0.011
4,34039,L34039,Teyrn,375,1.9,4.5,8,0.09,22,41,5.2,20,0.2,0.28,0.005
98,34319,L34319,Llagi,380,5.7,5.8,17,0.33,157,25,5.5,25,0.3,0.12,0.004
4,33803,L33803,Ogwen,300,38.5,6.8,17,2.62,1074,27,6.6,25,3.3,0.2,0.017
4,34033,L34033,Llydaw,430,47.4,19.6,50,9.29,393,206,6.2,26,2.5,0.23,0.01
3,29129,L29129,Grisedale,538,11.6,11.6,33,1.34,83,238,7.4,27,1.4,0.56,0.016
4,33836,L33836,Idwal,370,14,3.4,13,0.48,305,20,6.4,27,3.5,0.24,0.02
2,27922,L27922,LongLGlenhead,295,10,4.3,14,0.43,92,85,5,29,-0.3,0.33,0.003
9,38427,L38427,Claerwen,369,265.1,18.2,36,48.3,5354,219,5.7,29,0.5,0.4,0.006
5,37834,L37834,Ieuan,525,4,3.9,9,0.16,8,432,4.6,29,-0.5,0.3,0.005
8,36267,L36267,Cau,478,13.5,21,47,2.83,98,465,6.3,30,0.56,0.25,0.003
8,34400,L34400,Conwy,427,39,7.7,22,2.99,137,104,5.1,30,1.8,0.37,0.015
5,40297,L40297,FanFawr,608,15.6,6,20,0.93,57,337,6.6,30,3.9,0.4,0.011
5,38394,L38394,Hîr,439,5.1,2.8,9,0.14,21,162,6.3,30,2.8,0.43,0.019
8,34042,L34042,Glaslyn,605,8.3,14.9,38,1.24,104,105,6.5,31,6.4,0.47,0.006
5,38525,L38525,Gynon,427,23.3,2.2,11,0.51,270,48,6.5,31,2.6,0.45,0.013
8,27900,L27900,Valley,320,34.7,5.2,17,1.8,640,53,4.9,31,-0.4,0.31,0.003
9,38419,L38419,Caban_coch,250,202,18,36,36.37,18352,49,6.3,31,0.95,0.41,0.007
8,29179,L29179,Angle,568,3.5,7,16,0.24,53,44,5.8,31,1.4,0.29,0.005
4,38214,L38214,CraigGoch,317,88,10.5,36,9.22,5598,40,7.1,32,2.7,0.56,0.022
6,35561,L35561,Bodlyn,385,16.5,8.1,20,1.34,366,75,6.9,32,2.1,0.48,0.025
98,29153,L29153,Scoat,602,5.2,8.1,20,0.42,95,57,5.1,33,-0.3,0.25,0.003
9,37596,L37596,Nant_y_Moch,338,212.3,15.6,40,33.04,5514,128,5.7,33,0.5,0.3,0.007
2,27927,L27927,RoundLGlenhead,295,12.5,4.3,14,0.54,95,99,5,33,-0.5,0.28,0.005
2,27948,L27948,Dee,225,100.1,4.4,15,4.44,1460,57,5.5,33,1.9,0.29,0.008
8,29285,L29285,Levers,413,14.8,15,37,2.22,200,159,5,33,-0.4,0.37,0.004
8,29081,L29081,Bleaberry,497,1,4,6,0.04,43,14,6.3,34,1.1,0.34,0.004
8,27827,L27827,Dungeon,305,35.4,6.9,29,2.44,642,70,5.5,34,0.1,0.26,0.004
9,33571,L33571,Eigiau,378,50,3.9,10,1.95,1009,28,6.7,34,4,0.24,0.006
8,28905,L28905,Scales,598,1.2,4,8,0.05,30,32,4.9,34,-0.6,0.19,0.002
4,38409,L38409,Egnant,420,13.9,4.3,11,0.6,125,121,6.3,34,1.5,0.62,0.028
8,29290,L29290,Seathwaite,374,24.1,10,30,2.41,466,79,5.7,34,0.3,0.37,0.008
8,27801,L27801,Minnoch,271,6.6,2.7,7,0.18,821,4,5.7,35,0.3,0.24,0.004
99,29215,L29215,Burnmoor,252,24,3.7,13,0.89,226,78,6.7,35,3,0.07,0.004
8,34511,L34511,Gamallt,465,10.5,1.5,2,0.16,56,43,4.6,35,-0.6,0.39,0.013
3,29052,L29052,Buttermere,101,94,16.2,29,15.23,1690,111,6.9,36,3,0.34,0.026
9,33686,L33686,Cowlyd,355,103.5,33,70,34.16,645,803,7.1,36,4.8,0.24,0.007
3,29021,L29021,Thirlmere,179,326.7,16.1,46,52.53,2930,231,7.3,36,3.2,0.29,0.004
2,28160,L28160,Fleet,340,17.8,6.5,17,1.16,111,173,5.5,36,-2,0.22,0.006
4,38390,L38390,Teifi,408,24.4,5.3,14,1.3,136,234,6.8,36,2,0.24,0.011
3,29062,L29062,Ennerdale,112,300,17.8,42,53.28,4410,152,6.8,38,3.1,0.58,0.021
9,34644,L34644,Celyn,299,323.6,22,43,71.2,5980,255,5.9,38,1.7,0.33,0.01
4,34002,L34002,Cwellyn,142,85,22.6,36,19.21,1988,129,6.8,38,4,0.42,0.013
3,29000,L29000,Crummock,100,252,26.4,44,66.53,4360,246,7.4,39,3.8,0.32,0.003
7,22577,L22577,nanGabhar,1,16.6,0.8,2,0.13,3285,1,6.3,39,3,0.15,0.006
8,29181,L29181,Greendale,407,2.2,3,9,0.07,78,15,5.8,39,0.6,0.31,0.005
8,29246,L29246,Stony,298,1.4,3,8,0.04,36,23,6.1,39,0.9,0.22,0.004
8,29252,L29252,Eel,207,1.6,0.4,1,0.01,25,6,5.4,39,0.1,0.27,0.008
8,29045,L29045,Floutern,377,1.3,2,4,0.03,39,13,5.7,39,0.4,0.29,0.006
8,27777,L27777,Harrow,248,13.7,3.5,9,0.48,385,24,5.3,40,-0.1,0.31,0.006
3,29250,L29250,Birkdale,487,7.3,1,2,0.07,18,88,3.8,40,-0.3,0.77,0.022
2,27967,L27967,Clatteringshaws,180,387.4,8.3,24,41.7,9286,90,4.9,40,1.7,0.31,0.008
98,29183,L29183,Wastwater,61,291,39.7,76,115.6,4850,363,6.8,41,2.5,0.47,0.01
6,33962,L33962,AlwenLake,384,26.3,6,14,1.58,133,353,5.1,41,1.9,0.61,0.033
8,35426,L35426,Hywel,539,5.1,5.9,15,0.3,22,230,5.1,41,0.4,0.36,0.003
7,24459,L24459,Lubnaig,121,232.4,13,45,30.21,18969,29,6.9,41,8.5,0.11,0.007
5,39020,L39020,Brianne,279,215,28.1,84,60.5,8797,169,6.2,41,2.2,0.37,0.006
7,22308,L22308,Doilet,8,53,7.2,17,3.795,3389,17,6.4,42,3,0.14,0.006
99,35578,L35578,Mynach,285,5.9,0.8,11,0.05,153,8,5.6,42,0.2,0.14,0.003
8,29008,L29008,HighNook,217,0.6,0.3,5,0,18,2,5.2,42,-0.3,0.2,0.005
7,24132,L24132,Earn,97,1012.7,42,87.5,425.44,13944,680.4,6.9,43,10.4,0.18,0.008
98,35568,L35568,Vyrnwy,245,453,13.2,23,59.7,6705,197,6.2,44,2.5,0.95,0.01
9,34635,L34635,Garnedd,219,2.1,3.6,9,0.07,93,19,5,45,-0.4,0.21,0.005
98,34987,L34987,Tegid,160,415.2,24,43,99.65,15025,160.4,7,45,6.7,1.28,0.014
5,38907,L38907,Berwyn,439,12.8,3.3,14,0.42,65,139,6.3,45,4,0.87,0.039
11,29222,L29222,ElterOuter,53,8.3,2.5,8,0.21,5130,1,7.2,46,,0.36,0.009
4,36405,L36405,Tal_y_llyn,85,50.7,4.2,11,2.1,1739,22,7.3,46,5.8,0.54,0.032
9,35650,L35650,Erddyn,317,9.4,3.6,9,0.33,102,78,5.7,47,0.3,0.3,0.005
4,33730,L33730,Padarn,105,107,17.5,30,18.73,4895,53,7.4,48,8.4,0.46,0.015
6,29073,L29073,Haweswater,246,390.9,23.4,57,91.6,3225,442,7.2,48,12,0.43,0.014
9,34870,L34870,Trawsfynydd,198,506,6.6,36,33.18,5639,129,6.7,48,4.46,0.38,0.013
5,29184,L29184,Grasmere,61,64.4,7.7,22,4.99,2790,29,7.1,49,10.2,0.44,0.021
5,46279,L46279,Burrator,218,56.4,7.5,28,4.21,2169,55.6,6.9,50,6,0.37,0.023
2,28130,L28130,Grannoch,210,114.3,6.5,21,7.4,1287,286,4.6,50,-1.4,0.34,0.007
12,29197,L29197,Rydal,53,31,5.2,18,1.61,3238,8,7.1,50,9.5,0.5,0.014
7,14057,L14057,Maree,6,2856,38.2,112,1090.99,44011,413,6.6,50,2.7,0.07,0.005
8,35180,L35180,Bychan,158,13.6,5.5,15,0.75,627,27,5.9,51,0.2,0.23,0.004
12,32299,L32299,Howden,261,61.6,14.6,32,9,3790,78,6.9,54,3.2,0.73,0.01
9,29338,L29338,Devoke,233,34.1,4,14,1.36,306,86,6.1,54,2,0.38,0.005
8,27699,L27699,Macaterick,284,74.4,4.9,13,3.65,962,71,4.6,55,-1.3,0.3,0.006
5,46232,L46232,Dozmary,268,14.9,0.4,1,0.06,58,22.5,6.9,57,7.4,0.67,0.045
9,33976,L33976,AlwenReservoir,361,150.9,13.5,25,20.32,2432,296,6.4,57,1.2,0.58,0.015
9,37446,L37446,Clwedog,288,243.5,20.5,66,49.93,4892,247,7.4,59,4.7,0.64,0.01
3,28965,L28965,DerwentWater,75,535,5.5,22,29.43,8270,47,7.1,59,6,0.82,0.04
8,28076,L28076,Gower,231,0.6,2,4,0.01,3,77,4.2,59,-2.9,0.25,0.005
7,31104,L31104,WhiteHolme,387,42,1.9,12,0.8,98,233,4,60,-0.3,0.88,0.035
12,32359,L32359,DerwentDerbys,237,67.3,14.1,34.7,9.48,5306,62,6.7,60,10.5,0.79,0.036
98,28955,L28955,Ullswater,145,894,25.3,63,226,14550,285,7.2,61,12.3,0.56,0.011
12,31876,L31876,Winscar,346,51.4,15.6,25,8,825,287,6.8,61,0.7,0.77,0.017
4,38422,L38422,Eiddwen,304,10.1,2.6,7,0.26,50,173,6.9,61,6.3,0.72,0.027
8,27823,L27823,Dow,226,1.3,0.5,1,0.01,9,16,4.5,63,-2.6,1.28,0.179
4,27698,L27698,Kielder,185,1086,18.5,52,201,24087,302.3,7.2,65,15.3,0.51,0.023
8,27693,L27693,Fannie,296,1.2,2,4,0.02,6,74,4.4,65,-1.7,0.37,0.011
12,29219,L29219,Loughrigg,97,7.2,6.9,10,0.5,85,113,7.6,65,15.6,0.39,0.019
2,29233N,L29233N,WindermereNorth,39,805,25.1,64,201.8,18000,220,7.2,67,11.9,0.68,0.013
4,28860,L28860,Cow,489,311.6,13.1,23,40.9,5810,149,6.8,68,9.5,0.26,0.035
3,28847,L28847,Bassenthwaite,69,528.4,5.3,20,27.9,35602,19,7.2,69,10.8,0.38,0.031
9,34665,L34665,Hafod,128,1.9,2.8,7,0.05,32,48,5.1,69,-0.2,0.14,0.009
99,29321,L29321,Coniston,44,491,23.1,56.1,113.3,6070,340,6.8,70,10.5,0.64,0.011
3,28986,L28986,Loweswater,121,64.3,8.4,16,5.38,890,138,7.4,70,12.1,0.56,0.03
12,46225,L46225,Colliford,255,366,7.8,26,28.54,1233,540,7.1,72,4.65,0.59,0.032
7,2490,L2490,Hope,4,609,18.7,57,113.88,21371,94.2,6.5,72,2.4,0.06,0.005
4,39967,L39967,Usk,305,116,10.6,20,12.27,1590,222,7.6,74,22.8,0.47,0.032
12,32111,L32111,Torside,196,65,10.3,26,6.7,5911,37,7.2,75,4.2,0.82,0.017
9,34668,L34668,Mair,79,6.1,2.4,6,0.15,215,20,5.7,75,0.4,0.27,0.007
7,10786,L10786,Sionascaig,76,558,18.4,66,102.73,3962,588,6.7,76,4.1,0.1,0.01
2,29233S,L29233S,WindermereSouth,39,672,16.8,42,112.7,23050,95,7.4,76,14.1,0.78,0.02
4,28901,L28901,GreatRundale,680,3.1,0.7,1,0.02,34,15,3.7,78,-0.4,1.18,0.017
12,46262,L46262,Siblyback,225,50.6,6.3,8,3.18,794,109,7.2,78,7.9,0.78,0.029
5,33474,L33474,Oakmere,72,22,2.1,8,0.46,256,213,7.2,82,9.1,1.04,0.119
7,5222,L5222,Meadie,146,211.4,6.3,19,13.28,2100,127,6.5,83,2.4,0.03,0.005
7,6405,L6405,Naver,73,585,11.9,33,69.62,23550,77,6.5,83,3.2,0.05,0.004
9,33923,L33923,Brenig,378,361.8,16.6,45,60,2225,947,6.9,83,8.3,0.5,0.009
6,30030,L30030,Stocks,185,130,9.1,30,11.85,3736,98,7.5,87,35,0.74,0.035
7,11642,L11642,Craggie,166,54,3,5,1.62,277,259,6.9,90,4.8,0.15,0.004
12,32459N,L32459N,LadybowerNorth,205,62.7,15.2,20,9.5,9850,35,6.7,90,18,0.8,0.03
12,32459S,L32459S,LadybowerSouth,205,200.4,13.9,20,27.87,12607,79,7.4,92,18.2,0.84,0.032
5,28519,L28519,DerwentNorthum,221,405,12.3,32,50.01,11019,273.6,7.2,93,34.7,0.88,0.033
7,3904,L3904,Loyal,114,646,19.9,66,128.42,8353,456,7,94,5.7,0.15,0.009
12,29990,L29990,Thrusscross,217,56.6,5.2,13,2.92,2856,55,6.9,94,7.3,1.3,0.028
5,29328,L29328,Esthwaite,65,100.4,6.4,16,6.45,1710,86,7.4,96,26.3,0.74,0.026
5,28976,L28976,Grassholme,275,57.7,10.5,33,6.06,7863,24,7.4,97,36.9,0.46,0.025
7,5307,L5307,Coulside,117,22.1,2.3,4,0.5,2378,6,6.8,99,6.7,0.07,0.009
4,27568,L27568,Catcleugh,248,107,9.8,22,10.48,3988,98,7.6,99,40.4,0.47,0.025
7,8751,L8751,Assynt,65,803,30.8,86,247.45,12141,423,7.6,99,24.6,0.1,0.004
6,34622,L34622,Glasfryn,129,5.8,0.7,1,0.04,20,61,7.1,100,19.8,0.77,0.065
9,29770,L29770,Gouthwaite,132,126,6,16,7.52,11539,25,7.2,102,30,0.81,0.021
5,29270,L29270,Blelham,47,10.2,6.8,15,0.69,430,38,7.1,105,32.5,0.76,0.027
7,11238,L11238,naBéisteAssynt,58,10.8,3,8,0.33,80,153,5.6,110,1.4,0.07,0.008
4,45652,L45652,Hatchet,32,6.7,0.5,4,0.04,212,21,7.6,111,12.3,0.5,0.025
4,28165,L28165,Greenlee,225,46,0.5,2,0.23,1453,10,7.2,115,48,0.81,0.055
8,28370,L28370,Plantain,27,3.7,1.5,4,0.06,52,48.4,4.4,116,-3,0.63,0.02
7,4204,L4204,MeadieCaithness,116,39,1.2,3,0.47,255,94,6.2,116,5,0.09,0.02
12,30068,L30068,Fewston,155,60.9,5.7,13,3.5,5253,38,7.3,118,13.5,1.22,0.033
98,44471,L44471,Wimbleball,236,162,13.2,48,21.32,2900,183,7.7,120,21.7,3.91,0.02
6,28386,L28386,Talkin,128,26,2.6,8,0.68,106,407,8,121,42.3,1,0.045
4,46501,L46501,Stithians,165,104.7,4.7,38,4.97,882,221.9,7.6,130,16.9,1.83,0.02
7,12733,L12733,naBéisteKinloch,37,8.8,3.2,11,0.28,63,112,6.4,130,4.5,0.09,0.014
12,30091,L30091,Swinsty,137,65.8,6,10,3.94,6892,35,7.3,135,21.9,1.27,0.043
7,18682,L18682,Druidibeg,7,257,2.5,5,6.43,1944,117,6.4,145,3.8,0.1,0.012
6,15176,L15176,a_Bhuird,6,33,3.2,11,1.05,308,127,5.9,146,2.8,0.11,0.005
4,28172,L28172,Broomlee,257,28,1,3,0.28,120,134,7.7,155,65.9,0.69,0.025
6,32961,L32961,Helyg,177,19.1,0.7,1,0.13,41,116,7.9,157,32.1,0.97,0.034
7,15316,L15316,naMoracha,4,36,2.8,6,1.02,149,228,6.3,162,2.4,0.1,0.005
6,26257,L26257,Skerrols,25,26.1,1.7,2,0.44,627,29,7.4,166,42.1,0.27,0.007
7,16456,L16456,Ussie,128,82.4,2.4,11,1.98,465,278,7.3,166,21.5,0.22,0.01
4,28220,L28220,Crag,244,10.1,0.7,3,0.07,182,26,7.7,166,79.3,0.95,0.032
6,26168,L26168,Gorm,13,271.5,1.3,3,3.53,2053,81,7,169,16.3,0.2,0.018
98,29479,L29479,Semer,248,31,6.3,12,1.94,3886,18,7.9,176,80.2,0.41,0.07
6,26217,L26217,Lossit,98,16.9,5,10,0.85,146,196,7.6,179,51.1,0.14,0.009
7,5714,L5714,Rangag,117,32,1.4,2,0.45,844,30,7.8,184,30.4,0.11,0.015
5,32538,L32538,Alaw,42,315,1.5,5,4.73,3339,101,7.7,186,40.8,1.62,0.037
4,46102,L46102,LittleSea,5,31.4,1.6,2,0.49,93,664,7.3,190,16.3,0.75,0.019
6,26944,L26944,Kinnabus,77,43.7,3,5,1.31,362,169,7.5,198,30.9,0.03,0.006
6,25899,L25899,Ardnave,18,11.1,0.6,1,0.07,330,11,7.2,207,28.4,0.07,0.017
5,32435,L32435,Llygeirian,45,11.1,0.3,3,0.03,161,17,7.5,216,46.9,1.77,0.065
0,41559,L41559,Cotswold,85,18.2,2.5,5,0.45,100,702,8.3,223,60,0.4,0.05
7,24843,L24843,Leven,107,1330,3.9,25,52,15870,223,8.2,228,76.4,1.97,0.067
5,33784,L33784,Rudyard,161,62.1,4.5,5,2.8,1117,183,7.8,234,72.9,1.57,0.102
6,43909,L43909,ShearWater,135,15,2.4,10,0.36,480,180,8.8,236,68.6,2.2,0.053
6,26178,L26178,Ballygrant,77,26.6,5,10,1.33,284,164,8,237,84.5,0.1,0.006
99,35079,L35079,Cole,85,27.6,3.3,12,0.91,324,454,8.5,240,87.9,2.51,0.341
7,45790,L45790,Sowley,5,16.1,0.6,2,0.1,1377,9,8.2,244,55.8,1.73,0.146
98,44031,L44031,GreatFrensham,63,29.2,2.7,4,0.8,232,358,7.8,248,78.2,1.26,0.04
4,46556,L46556,Loe,4,55.6,4,11,2.22,5460,26,8,250,29.7,4.3,0.093
3,29178,L29178,Sunbiggin,253,3.7,4.5,11,0.17,124,46,8.2,266,85.8,0.55,0.05
4,35091,L35091,WhiteMere,95,25.5,5.6,15,1.43,202,915,8.1,268,97.4,1.19,0.922
98,29844,L29844,Malham,375,62,2.5,4,1.55,1150,45,8.4,268,126.3,0.86,0.022
4,43943,L43943,LittleFrensham,54,14.7,1.5,2,0.22,714,35,8.4,275,107.2,1.19,0.049
6,34780,L34780,Hanmer,79,17.7,2.3,6.5,0.41,93,545.6,8.2,280,82.4,2.59,0.99
4,34990,L34990,Ellesmere,98,46.1,7.4,19,3.41,251,1672,8,282,113.7,1.6,0.918
12,36714,L36714,Carsington,66,300,12.1,31,36.33,2840,176,8.4,285,80.6,0.62,0.011
98,46472,L46472,Slapton,4,77,1.5,3,1.19,4556,19,7.3,290,84.8,6.4,0.1
98,40067,L40067,Llangorse,155,139.6,2,8,2.8,2209,156,7.7,293,125.2,0.95,0.14
4,42170,L42170,Kenfig,15,29,1,4,0.29,80,191,8.3,302,95.1,0.71,0.026
9,33790,L33790,Tittesworth,197,73.7,8.7,12,6.44,2848,122,7.7,308,45.1,1.74,0.067
2,36566,L36566,Betton,85,6.4,3.6,11,0.23,50,816,8.2,316,110.8,0.74,0.108
6,33337,L33337,Coron,9,28,1.8,3,0.5,2044,20,8.1,319,102,2.82,0.108
4,43348,L43348,Cheddar,8,96,4.9,8,4.75,3500,110,8.2,333,153.8,2.73,0.025
6,33627,L33627,Rhos_ddu,8,2.4,0.6,1,0.01,29,44,7.4,343,135,1.03,0.058
9,33781,L33781,Ogston,119,77,7.9,11,6.05,2815,199,8.4,363,96.4,2.28,0.068
7,32744,L32744,Mere,52,16,2.8,8,0.44,317,175,7.7,372,93.8,2.07,0.11
6,32948,L32948,Dinam,8,9.7,1.4,1.4,0.14,378,35.1,7.9,375,82.8,1.47,0.076
4,35211,L35211,CroseMere,88,15.2,4.8,9,0.73,203,503,8.1,379,139.4,1.71,0.131
12,35928,L35928,Blackbrook,116,33.1,6.5,18,2.15,1212,224,8.2,384,,2.75,0.168
4,43602,L43602,BoughBeech,63,115,7.7,21,8.9,650,561,7.9,391,97.5,4.53,0.332
99,43096,L43096,ChewValley,59,486,4.3,10,20.9,5130,352,8.6,401,184,1.53,0.374
6,19170,L19170,Ollay,5,39.6,0.7,1,0.29,100,92,7.6,402,59,0.09,0.01
6,32968,L32968,Penrhyn,8,22.3,2.2,3,0.49,149,298,7.4,402,92.7,0.94,0.383
6,32804,L32804,Tatton,46,33.9,4.3,11,1.46,392,451,8.3,412,134,0.87,0.121
3,29647,L29647,Hawes,6,6.3,8,13,0.5,350,94,8.1,414,196.9,0.63,0.017
99,43135,L43135,Blagdon,43,178,4.7,12,8.45,2480,243,8.3,423,179.7,1.75,0.147
4,45108,L45108,Burton,16,22,0.6,2.2,0.13,507,20.1,8,428,194.1,2.92,0.04
6,34480,L34480,Comber,78,52,4.6,12,2.4,714,444,8.2,433,175,1.94,0.172
12,36331,L36331,Cropston,84,59,4.3,11,2.52,1842,181,8.3,433,,2.03,0.111
99,44518,L44518,Fonthill,100,20,1.2,4,0.24,2730,21,8.1,446,205.4,3.76,0.06
5,36523,L36523,Chase,152,82.4,3.7,15,3.05,669,514,7.9,451,90.2,0.8,0.042
98,32650,L32650,Rostherne,20,48.7,13.6,28,6.62,911,916,8,453,110.4,2.36,0.29
3,36202,L36202,Upton,2,6.6,0.7,2,0.05,166,47,8.5,485,139.2,0.54,0.016
4,41602E,L41602E,LilyPondsEast,2,17.5,0.6,3,0.11,594,14,7.9,491,162.3,3.19,0.069
6,32761,L32761,Wyth_Eidion,68,1.3,6,9,0.08,176,28,7.8,494,209.6,2.97,0.046
9,35478,L35478,Blithefield,95,312.3,5.8,14,18,11972,159.7,8.4,497,141.2,2,0.191
4,41602W,L41602W,LilyPondsWest,2,15.6,0.6,3,0.09,1213,6,8.1,504,184.4,2.1,0.034
12,36108,L36108,Swithland,55,69,3.4,9,2.32,3376,94,7.8,508,,2.39,0.223
1,491181,L491181,MaidenheadLake3,23,7,2.5,4,0.17,7,684,8.1,515,158,2.52,0.006
4,41011,L41011,Farmoor,64,149,12,20,17.88,77,365,8.6,543,206,6.24,0.13
98,40755,L40755,Stanborough,65,3.7,1.7,2,0.06,27,409,8.4,544,185.2,3.16,0.28
4,36544,L36544,Bomere,75,10.3,6.1,15,0.63,73,1276,7.9,559,138.4,8.6,0.071
6,32960,L32960,Tabley,32,19.4,4.4,4,0.85,457,239,8.2,580,144,2.62,0.281
7,30244,L30244,Hornsea,8,190,1.5,4,2.85,1885,235,8.5,585,163.2,2.12,0.248
1,491192,L491192,MaidenheadLake2,23,2,2.5,4,0.05,2,688,7.7,602,227,3.02,0.06
99,42417,L42417,Wraysbury,16,202,16.8,22,33.9,450,90,8.4,617,228.6,8.96,0.58
4,35724,L35724,Aqualate,67,75.3,0.6,3,0.45,5808,12,8.3,630,195,6.05,0.31
1,492180,L492180,MaidenheadLake4,22,16,2.9,4,0.46,16,836,8.3,642,168,3.1,0.01
1,493179,L493179,MaidenheadLake6,22,16,2.9,6,0.46,16,836,8.3,642,168,3.1,0.01
9,40418,L40418,Abberton,16,474,5.5,18,26,3421,2175,8.5,644,182.2,2.54,0.28
4,35953,L35953,Wroxham,2,32,1.3,3,0.41,580,132,7.9,686,214,6.05,0.07
3,35981,L35981,Ormesby,2,60,1,3,0.6,1630,80,7.8,732,160.3,1,0.07
1,496179,L496179,MaidenheadLake7,20,5.7,3,4,0.17,6,588,8.1,741,210.7,3.18,0.01
1,497179,L497179,MaidenheadLake8,20,1.4,3.8,4,0.0524,1,728,8.1,741,210.6666667,3.18,0.01
5,38310,L38310,Grafham,45,625,8.9,21,55.5,2577,202,8.5,756,185,6.23,0.22
98,36479,L36479,Rutland,85,1161,10,34,116.58,2117,571,8.6,757,169.1,5.79,0.25
98,36050,L36050,Ranworth,1,28.9,1.2,4,0.35,463,108,8.1,917,167.7,2.82,0.09
98,41427,L41427,Hanningfield,55,352,7.4,15,26.2,1326,218,8.6,954,223,7.28,0.84
98,39450,L39450,Stewart,35,78.2,6.4,24,5,2780,439,8.4,1019,139.6,3.96,0.44
98,35738,L35738,Martham,0,8.7,1,1.5,0.09,630,94,8.23,5295,89.29,0.82,0.02
5,35640,L35640,Hickling,1,153.8,0.8,1.5,1.22,2086,102,8.16,5314,127.9,1.06,0.059
