Subfamily,Family,Genus,Species,T1,T2_1,T2_2,T2_3,T3,T4_1,T4_2,T4_3,T4_4,T5_1,T5_2,T5_3,T5_4,T5_5,T6_1,T6_2,T6_3,T6_4,T7_1,T7_2,T7_3,T7_4,T8_1,T8_2,T8_3,T8_4
Tanypodinae,Chironomidae,Ablabesmyia,longistyla,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanypodinae,Chironomidae,Ablabesmyia,monilis,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0
Orthocladiinae,Chironomidae,Brillia,bifida,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Brillia,flavifrons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Bryophaenocladius,bryophaenocladius,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Chironominae,Chironomidae,Chironomus,anthracinus,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Chironomus,longistylus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Chironomus,nuditarsis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Chironomus,piger,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Chironomus,sp,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1
Chironominae,Chironomidae,Cladopelma,sp,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chironominae,Chironomidae,Cladopelma,viridulum,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Cladotanytarsus,mancus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Cladotanytarsus,sp,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tanypodinae,Chironomidae,Conchapelopia,melanops,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Corynoneura,arctica,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Corynoneura,celtica,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Corynoneura,coronata,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Corynoneura,lacustris,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Corynoneura,sp,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Orthocladiinae,Chironomidae,Cricotopus,albiforceps,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Cricotopus,annulator,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Cricotopus,bicinctus,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Orthocladiinae,Chironomidae,Cricotopus,curtus,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Cricotopus,ephippium,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Cricotopus,festivellus,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Cricotopus,isocladius_sp,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Cricotopus,isocladius_sylvestris,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Orthocladiinae,Chironomidae,Cricotopus,polaris,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Cricotopus,sp,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Chironominae,Chironomidae,Demicryptochironomus,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Chironominae,Chironomidae,Demicryptochironomus,vulneratus,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chironominae,Chironomidae,Dicrotendipes,nervosus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Dicrotendipes,pulsus,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Dicrotendipes,sp,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1
Chironominae,Chironomidae,Endochironomus,albipennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chironominae,Chironomidae,Endochironomus,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Orthocladiinae,Chironomidae,Eukiefferiella,claripennis,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Eukiefferiella,clypeata,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Eukiefferiella,coerulescens,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Eukiefferiella,sp,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Chironominae,Chironomidae,Glyptotendipes,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Orthocladiinae,Chironomidae,Gymnometriocnemus,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Heleniella,ornaticollis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Heterotanytarsus,apicalis,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1
Orthocladiinae,Chironomidae,Heterotrissocladius,marcidus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Heterotrissocladius,sp,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Orthocladiinae,Chironomidae,Limnophyes,sp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Tanypodinae,Chironomidae,Macropelopia,adaucta,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Metriocnemus,eurynotus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Metriocnemus,sp,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Chironominae,Chironomidae,Micropsectra,atrofasciata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Micropsectra,contracta,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Micropsectra,junci,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Micropsectra,sp,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Microtendipes,chloris,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Microtendipes,sp,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1
Orthocladiinae,Chironomidae,Nanocladius,balticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Orthocladiinae,Chironomidae,Orthocladius,eudactylocladius_olivaceus,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Orthocladius,frigidus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Orthocladius,pedestris,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Orthocladius,pogonocladius_consobrinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Orthocladius,rivinus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Orthocladius,rubicundus,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Orthocladius,ruffoi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Orthocladius,sp,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Chironominae,Chironomidae,Pagastiella,orophilia,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
Chironominae,Chironomidae,Parachironomus,arcuatus,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
Chironominae,Chironomidae,Paracladopelma,camptolabis,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Chironominae,Chironomidae,Paracladopelma,nigritula,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Parakiefferiella,bathophila,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Parakiefferiella,smolandica,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Parakiefferiella,sp,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1
Orthocladiinae,Chironomidae,Parametriocnemus,stylatus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Paratanytarsus,sp,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0
Chironominae,Chironomidae,Paratanytarsus,tenuis,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Paratendipes,albimanus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Paratendipes,sp,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Orthocladiinae,Chironomidae,Paratrichocladius,skirwithensis,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Phaenopsectra,sp,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Polypedilum,albicorne,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Polypedilum,nubeculosum,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Polypedilum,pullum,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Polypedilum,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0
Diamesinae,Chironomidae,Potthastia,gaedii,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Diamesinae,Chironomidae,Potthastia,longimanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tanypodinae,Chironomidae,Procladius,choreus,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanypodinae,Chironomidae,Procladius,crassinervis,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanypodinae,Chironomidae,Procladius,holotanypus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0
Tanypodinae,Chironomidae,Procladius,simplicistylis,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prodiamesinae,Chironomidae,Prodiamesa,olivacea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Prodiamesinae,Chironomidae,Prodiamesa,sp,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Diamesinae,Chironomidae,Protanypus,morio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Psectrocladius,psilopterus,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Psectrocladius,sordidellus,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Psectrocladius,sp,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1
Chironominae,Chironomidae,Pseudochironomus,prasinatus,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0
Orthocladiinae,Chironomidae,Pseudosmittia,ruttneri,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Pseudosmittia,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chironominae,Chironomidae,Rheotanytarsus,pentapoda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Sergentia,sp,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
Chironominae,Chironomidae,Stempellina,bausei,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Stenochironomus,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chironominae,Chironomidae,Stichtochironomous,sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Chironominae,Chironomidae,Stictochironomus,sp,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Chironominae,Chironomidae,Synendotendipes,sp,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Synorthocladius,semivirens,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1
Chironominae,Chironomidae,Tanytarsus,bathophilus,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Tanytarsus,brundini,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Tanytarsus,curticornis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Tanytarsus,debilis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Tanytarsus,signatus,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Tanytarsus,sp,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Chironominae,Chironomidae,Tanytarsus,telmaticus,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Tanytarsus,usmaensis,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Thienemanniella,sp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Tribelos,intextus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tanypodinae,Chironomidae,Trissopelopia,longimana,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Tvetenia,calvescens,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthocladiinae,Chironomidae,Tvetenia,sp,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chironominae,Chironomidae,Virgatanytarsus,sp,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Chironominae,Chironomidae,Xenochironomus,xenolabis,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Chironominae,Chironomidae,Zavrelia,pentatoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
