SamplingID,Day,Month,Year,SamplingDay,OTU_1095,OTU_1096,OTU_1151,OTU_1181,OTU_120,OTU_13,OTU_133,OTU_139,OTU_142,OTU_144,OTU_147,OTU_15,OTU_153,OTU_155,OTU_170,OTU_171,OTU_186,OTU_196,OTU_1977,OTU_20,OTU_208,OTU_21,OTU_213,OTU_215,OTU_2185,OTU_22,OTU_2242,OTU_2259,OTU_2280,OTU_230,OTU_231,OTU_238,OTU_241,OTU_25,OTU_254,OTU_257,OTU_274,OTU_284,OTU_286,OTU_295,OTU_300,OTU_31,OTU_320,OTU_329,OTU_339,OTU_34,OTU_351,OTU_36,OTU_360,OTU_366,OTU_38,OTU_381,OTU_383,OTU_389,OTU_390,OTU_391,OTU_399,OTU_402,OTU_424,OTU_427,OTU_437,OTU_45,OTU_468,OTU_48,OTU_482,OTU_489,OTU_49,OTU_492,OTU_5,OTU_505,OTU_508,OTU_514,OTU_540,OTU_551,OTU_580,OTU_581,OTU_583,OTU_587,OTU_598,OTU_615,OTU_619,OTU_622,OTU_623,OTU_624,OTU_630,OTU_698,OTU_7,OTU_721,OTU_727,OTU_74,OTU_752,OTU_767,OTU_77,OTU_779,OTU_80,OTU_817,OTU_837,OTU_882,OTU_89,OTU_9,OTU_94,OTU_967,OTU_976
1_WCOIS,30,9,2013,1,0,0,0,0,0,12,0,0,0,0,8,61,0,0,0,0,2,0,0,1632,4,0,9,0,0,32,0,0,35,0,0,13,7,0,0,7,0,0,0,0,0,45,13,0,0,0,0,88,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0,0,0,0,4,3,0,0,0,0,0,6,0,0,0,1885,0,0,18,0,0,51,8,0,0,0,0,0,23,0,0,0
2_WCOIS,4,11,2013,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,2211,128,0,0,0,0,0,176,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,716,0,0,0
3_WCOIS,25,11,2013,57,0,0,0,0,0,80,0,0,0,0,0,1552,0,0,0,0,0,243,0,11,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,0,0,0,1349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4_WCOIS,17,12,2013,79,0,47,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,89,0,370,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,524,53,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,56,0,0,0,0,0,926,0,0,0,0,0,0,0,0,73,0,0,156,0,0,0,0,127,0,0,0,0,0,220,0,0,0,0,92,0,0,150,0,0,0
5_WCOIS,8,1,2014,101,0,0,0,0,0,0,0,0,0,0,0,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,2527,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6_WCOIS,29,1,2014,122,0,0,0,0,0,0,0,0,0,667,388,0,0,0,270,0,0,290,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,0,118,0,0,128,0,0,135,0,0,0,0,0,0,0,0,554,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,507,0,0,0
7_WCOIS,22,2,2014,146,0,0,0,0,0,0,0,0,0,372,0,1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,0,0,0,44,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,11,14,44,0,0,0,0,0,0,0,0,0,0,10,0,45,0,0,0
8_WCOIS,12,3,2014,164,35,0,0,0,0,0,0,0,0,684,0,59,0,0,42,0,0,0,0,407,0,0,414,0,0,229,0,0,0,74,0,0,0,88,0,0,46,0,0,0,68,0,0,0,0,0,0,0,186,0,275,0,0,0,0,0,0,0,343,0,0,0,0,132,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,783,0,42,0
9_WCOIS,7,4,2014,190,0,0,23,27,22,0,32,0,0,150,0,421,0,0,0,0,0,48,0,127,0,0,408,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,122,265,0,79,61,256,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,60,131,0,0,0,145,0,0,0,0,0,0,0,0,0,90,0,85,0,0,48,0,0,42,0,0,0,0,0,26,0,0,0,0,0,0,1098,0,0,0
10_WCOIS,30,4,2014,213,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,316,0,0,0,38,0,0,0,0,0,0,82,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1878,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0
11_WCOIS,20,5,2014,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,173,395,0,0,189,228,0,0,0,260,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,0,0,0
12_WCOIS,10,6,2014,254,0,0,0,0,55,0,0,0,0,0,0,236,21,0,6,0,16,0,0,49,0,62,0,0,0,0,0,0,79,0,0,0,0,10,0,0,0,45,23,0,0,108,0,0,0,11,0,31,0,0,2559,0,0,0,0,0,11,0,0,19,0,0,0,0,0,0,37,0,0,0,0,15,24,0,0,0,0,22,0,0,0,0,0,0,0,0,0,15,0,90,0,0,0,0,0,0,0,0,36,410,0,0,10
13_WCOIS,2,7,2014,276,0,0,0,0,86,31,0,31,56,0,31,847,0,59,19,0,0,0,0,80,0,0,0,0,0,110,0,0,223,24,0,0,0,40,0,0,0,0,0,0,0,366,0,0,0,0,11,0,0,0,286,0,70,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,53,0,0,0,0,1009,0,0,0,0,481,0,0,0
14_WCOIS,23,7,2014,297,0,0,0,0,0,69,0,44,0,0,0,0,0,0,0,0,124,0,13,83,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,2123,0,0,162,0,0,124,0,0,149,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0,411,0,0,0
15_WCOIS,12,8,2014,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949,0,15,0,0,0,12,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,9,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,98,0,0
16_WCOIS,4,9,2014,340,0,0,0,0,0,11,0,0,0,0,0,71,0,102,0,22,0,0,0,978,56,174,0,116,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,49,335,0,0,0,36,0,204,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,10,0,24,0,0,0,0,19,0,0,9,1000,0,0,0
